	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K01236	49.471937997448	-4.97910855264524	0.52205717932317	-9.53747740640305	1.46348771752856e-21	8.34187998991281e-18
K03432	48.9817102679425	-5.01777020035999	0.541536995082034	-9.26579392715336	1.93631367965145e-20	1.22633199711259e-17
K03433	48.9817102679425	-5.01777020035999	0.541536995082034	-9.26579392715336	1.93631367965145e-20	1.22633199711259e-17
K03889	49.0024133831532	-5.01840136276359	0.541558207969427	-9.26659644136886	1.92180538576664e-20	1.22633199711259e-17
K03890	49.0024133831532	-5.01840136276359	0.541558207969427	-9.26659644136886	1.92180538576664e-20	1.22633199711259e-17
K03891	49.0024133831532	-5.01840136276359	0.541558207969427	-9.26659644136886	1.92180538576664e-20	1.22633199711259e-17
K05710	49.0154971981395	-5.01880062721607	0.54157571647835	-9.26703409054476	1.91393866783491e-20	1.22633199711259e-17
K10843	49.3845886990988	-5.02992873063827	0.541855263778666	-9.28279019670623	1.65097387049448e-20	1.22633199711259e-17
K12583	49.0024133831532	-5.01840136276359	0.541558207969427	-9.26659644136886	1.92180538576664e-20	1.22633199711259e-17
K16163	49.5783503733808	-5.0005584050166	0.541296815862842	-9.23810792613951	2.50894368676881e-20	1.43009790145822e-17
K05602	52.4117713491758	-3.94663444309854	0.434651740984714	-9.07999225807158	1.0858257528389e-19	5.15767232598478e-17
K17883	52.4117713491758	-3.94663444309854	0.434651740984714	-9.07999225807158	1.0858257528389e-19	5.15767232598478e-17
K15371	52.8429022844929	-3.86066296517369	0.433962127039979	-8.89631312185458	5.77325485038005e-19	2.53135020362818e-16
K06994	55.2226051252552	-3.76208710268167	0.426976633351719	-8.81099059953165	1.24044770371597e-18	5.05039422227217e-16
K04561	53.2056317699585	-3.80953623555559	0.433433368245698	-8.78920847966671	1.50617338704306e-18	5.72345887076363e-16
K00318	52.7028915331356	-5.41259724915124	0.621343487489287	-8.71111930539799	3.00888772370409e-18	1.07191625156958e-15
K12503	53.4092503527295	-3.67756158839316	0.427322088091452	-8.60606481826917	7.56115197979619e-18	2.53520978146108e-15
K07693	53.1836567777971	-3.59496364613065	0.425453923973105	-8.44971322055055	2.92019227383094e-17	9.24727553379799e-15
K17316	48.229650782533	-5.21650986188833	0.623105142808828	-8.3717971550891	5.67460649745581e-17	1.61726285177491e-14
K17317	48.229650782533	-5.21650986188833	0.623105142808828	-8.3717971550891	5.67460649745581e-17	1.61726285177491e-14
K01167	48.5941282491312	-5.25009871510869	0.628059856709975	-8.3592330556052	6.31272940681653e-17	1.71345512470734e-14
K14335	48.3424453035403	-5.14487539115136	0.616022750842397	-8.35176198300447	6.72520805547829e-17	1.74244026891937e-14
K00280	47.9974881436929	-5.27366593291055	0.636556835680488	-8.28467410498063	1.18432940863654e-16	2.17763794491234e-14
K02021	48.0181912589036	-5.27430616295134	0.636576713404627	-8.28542114703281	1.17691866474227e-16	2.17763794491234e-14
K02228	48.0181912589036	-5.27430616295134	0.636576713404627	-8.28542114703281	1.17691866474227e-16	2.17763794491234e-14
K03416	48.0181912589036	-5.27430616295134	0.636576713404627	-8.28542114703281	1.17691866474227e-16	2.17763794491234e-14
K05991	47.9974881436929	-5.27366593291055	0.636556835680488	-8.28467410498063	1.18432940863654e-16	2.17763794491234e-14
K07653	48.0181912589036	-5.27430616295134	0.636576713404627	-8.28542114703281	1.17691866474227e-16	2.17763794491234e-14
K14162	50.6486752968138	-4.27608112373156	0.515689347398628	-8.29197101957228	1.11387072648482e-16	2.17763794491234e-14
K16146	47.9974881436929	-5.27366593291055	0.636556835680488	-8.28467410498063	1.18432940863654e-16	2.17763794491234e-14
K17490	47.9974881436929	-5.27366593291055	0.636556835680488	-8.28467410498063	1.18432940863654e-16	2.17763794491234e-14
