	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K01453	103.966935776492	-5.13569373185751	0.557709322995342	-9.20854918521849	3.30562420075678e-20	1.96949089881089e-16
K03416	50.5647465047493	-5.32065673670285	0.590774662814593	-9.00623718585688	2.1324766596594e-19	4.23509864608356e-16
K17490	50.5647465047493	-5.32065673670285	0.590774662814593	-9.00623718585688	2.1324766596594e-19	4.23509864608356e-16
K05991	93.7400498677538	-5.40873640513229	0.609109306262778	-8.87974678685815	6.70127323148363e-19	4.99077323914743e-16
K10240	50.6067234880783	-5.27913570669821	0.593044593748892	-8.90175167659234	5.49721470509391e-19	4.99077323914743e-16
K10241	50.6067234880783	-5.27913570669821	0.593044593748892	-8.90175167659234	5.49721470509391e-19	4.99077323914743e-16
K12583	51.2156014690959	-5.23336243793754	0.586430940342697	-8.92408991053454	4.49378719030332e-19	4.99077323914743e-16
K16163	50.9524945309958	-5.25861198467252	0.592102540343295	-8.88125219260777	6.61118769395194e-19	4.99077323914743e-16
K03432	50.754066815624	-5.2320083714733	0.592111597426709	-8.83618627672786	9.90415853093917e-19	5.41812939689298e-16
K03433	50.754066815624	-5.2320083714733	0.592111597426709	-8.83618627672786	9.90415853093917e-19	5.41812939689298e-16
K07653	50.7019160117965	-5.23446517508152	0.592464257760771	-8.83507335086384	1.00032600479729e-18	5.41812939689298e-16
K14337	54.4554738565372	-5.20792386809344	0.593879000285072	-8.7693349412819	1.797246697231e-18	8.92332985175192e-16
K03889	51.3120089053518	-5.13769875896874	0.587948555134525	-8.73834745251345	2.36545036676771e-18	9.74856707401545e-16
K03890	51.3120089053518	-5.13769875896874	0.587948555134525	-8.73834745251345	2.36545036676771e-18	9.74856707401545e-16
K03891	51.3140248480528	-5.13563765310848	0.58799317666845	-8.73417899542106	2.4543220226625e-18	9.74856707401545e-16
K11045	194.771903952803	-5.3990373214879	0.629078002414755	-8.5824608407278	9.28647503040733e-18	3.45805113944793e-15
K02021	50.8972520375148	-5.00856898438616	0.594182930066162	-8.42933839218245	3.47624990040485e-17	1.21832334744777e-14
K02803	106.448448210648	-3.90885853015729	0.513735128828815	-7.60870400096737	2.7685799640764e-14	9.16399968109288e-12
K02802	53.4886877794567	-3.83018388331448	0.5081412488872	-7.5376362216261	4.78566623451857e-14	1.50068418027693e-11
K16783	129.023384668091	-3.08565268363718	0.41491752517035	-7.43678561750391	1.03164769739137e-13	3.0732784905289e-11
K00563	16457.1265161133	1.33692428485443	0.195397139997784	6.84208727348617	7.80475128975192e-12	2.21431943734962e-09
K15583	45833.8399521508	1.21119098320303	0.177961058850618	6.80593266316598	1.00396666212521e-11	2.71892426042819e-09
K07667	29779.4354888668	1.31885810175837	0.195067215053936	6.7610443989458	1.37000528514652e-11	3.54890934300128e-09
K06284	20320.6033069497	1.51221113261079	0.22575552111628	6.69844584590201	2.10647756319892e-11	5.22933055064132e-09
K10823	46662.8124405929	1.17216705823083	0.17611122496461	6.65583388262946	2.81698280476344e-11	6.71343342031224e-09
K09775	16692.6926822072	1.36935638548614	0.206565920492849	6.62914958197836	3.37626316816056e-11	7.73683690611562e-09
K02315	72704.6219510527	1.30110703294312	0.196684656146542	6.61519336807704	3.71066379379972e-11	8.18819810498472e-09
K10201	15692.3583192354	1.63730593422948	0.247931737782337	6.60385777502555	4.00593865640004e-11	8.52406518386838e-09
K10200	14046.0977825953	1.60058566032251	0.24342071099295	6.57538815737361	4.85264078326932e-11	9.96966682300642e-09
K09779	22035.1281484403	1.28951114152114	0.197421699826179	6.53175989598153	6.50013044478618e-11	1.29092590633453e-08
K03205	118641.577814059	1.21742526768213	0.186996781164243	6.51040761291415	7.49471523950447e-11	1.39542229365524e-08
K10202	21168.0794963195	1.55947859217443	0.23943100835302	6.51326911623376	7.35325955616778e-11	1.39542229365524e-08
K06919	53248.6378747057	1.46209492514969	0.224820428737947	6.50338998709909	7.8529858002591e-11	1.41782089084678e-08
K06400	22685.5291654157	1.35480576596732	0.209120733053681	6.47858175602105	9.25887591939816e-11	1.62248184493454e-08
K07089	28256.5935703735	1.17242717536337	0.18175377451946	6.45063453819961	1.11382802557533e-10	1.89605353610795e-08
K07260	30219.3057104948	1.4073883956018	0.218479308697966	6.44174683629848	1.18106170949203e-10	1.95465712920931e-08
K03790	36202.5447549433	1.26978141977128	0.197283910407415	6.43631514171142	1.22408753122951e-10	1.97111175974741e-08
K00702	21530.2326093091	1.30713612157115	0.203448397326357	6.42490252441919	1.3195404474164e-10	2.0158517912069e-08
K13012	16591.3726480995	1.57876137208366	0.245686736152068	6.42591210583906	1.31081130164998e-10	2.0158517912069e-08
K01266	13364.4915502728	1.59304836636946	0.248354533125504	6.41441227716355	1.41367163023904e-10	2.0360109328537e-08
K02057	73762.8148713344	1.06226478581333	0.16559163185983	6.41496658908775	1.40853749143177e-10	2.0360109328537e-08
K03091	136690.439956846	1.15916232947026	0.180777236310113	6.41210338829264	1.43525443403584e-10	2.0360109328537e-08
K06379	22373.428315531	1.26191580929505	0.197732808259627	6.38192427651223	1.74876437883439e-10	2.0983764094121e-08
K06385	22344.0674288393	1.26262798349001	0.197877430320609	6.38085900673085	1.76097382461573e-10	2.0983764094121e-08
K06398	21987.1077829884	1.27250946644723	0.199081032188883	6.39191716285611	1.63818645419306e-10	2.0983764094121e-08
K06399	22372.5189189992	1.26183540424143	0.197733903768979	6.3814822859902	1.75382012107768e-10	2.0983764094121e-08
K06405	22461.1587784083	1.26325041622249	0.197721185347931	6.3890493777869	1.66920157934486e-10	2.0983764094121e-08
K06406	22433.0254293209	1.26397109884579	0.197792418542637	6.39039204919436	1.65460979888647e-10	2.0983764094121e-08
K06407	22532.8405009357	1.26108938787965	0.197531705745813	6.38423782712857	1.72253211776704e-10	2.0983764094121e-08
K07335	32983.9459319323	1.15753000759566	0.180910196054384	6.3983679905343	1.57046433088385e-10	2.0983764094121e-08
K06012	22346.187997735	1.26127584745318	0.197801466389568	6.37647369594879	1.81211856523968e-10	2.11698086503883e-08
K06295	17250.3551001499	1.53263245452554	0.240694136646019	6.3675520969567	1.92068821788206e-10	2.15914347210213e-08
K15582	44633.5271739837	1.22336374764657	0.192090031208387	6.36869982242553	1.90637290551e-10	2.15914347210213e-08
K07775	13016.26785328	1.61149238158199	0.253670317120748	6.35270377659092	2.11562884311839e-10	2.33424382357395e-08
K15581	42686.9422223329	1.19887306009207	0.188989663739907	6.34359063013091	2.24470816866496e-10	2.43163113980106e-08
K06283	22286.3582823181	1.27544134422479	0.202314759398535	6.30424269596828	2.89606395208207e-10	2.85191353543444e-08
K06390	22285.1597014977	1.27559306987751	0.202366049351472	6.30339463544128	2.91196194045117e-10	2.85191353543444e-08
K06392	22285.1597014977	1.27559306987751	0.202366049351472	6.30339463544128	2.91196194045117e-10	2.85191353543444e-08
K06393	22285.1297313009	1.27559038551678	0.202366420346165	6.3033698146895	2.91242851877787e-10	2.85191353543444e-08
K06396	22284.0993213884	1.27552058733308	0.202368064497433	6.30297369548278	2.91988462003191e-10	2.85191353543444e-08
K06397	22284.1292915852	1.27552327185394	0.202367693450275	6.30299851773207	2.91941684707289e-10	2.85191353543444e-08
K04769	22230.4366431012	1.27373204303235	0.202263298681443	6.2973957773646	3.02687741440609e-10	2.90873155403734e-08
K06382	22191.3230660726	1.27382302049356	0.202358028695934	6.29489735941056	3.07603329745739e-10	2.90904863273828e-08
K16926	18998.9993396687	1.39214485149897	0.221635106626929	6.28124701310214	3.35868001095343e-10	3.12672117269696e-08
K03151	27760.4578235991	1.06205935105894	0.170598692015455	6.2254835515546	4.80073020859839e-10	4.40042316658911e-08
K01232	14231.8400258302	1.41421618975207	0.22731582428551	6.22137149579084	4.92827711347287e-10	4.4488901578896e-08
K16328	14780.6063885984	1.43450250011614	0.231488274965175	6.19686893572451	5.75974233107e-10	5.12187235947986e-08
K10010	10493.0568306621	1.49467180940402	0.242903897299471	6.15334634817024	7.58648757472687e-10	6.64710190738569e-08
K17320	72902.4314665401	1.44944608021921	0.235861281247968	6.14533285221734	7.97960031174677e-10	6.89021139962134e-08
K17319	77881.6214222613	1.46577564908984	0.239022124515052	6.13238482447486	8.65713814143678e-10	7.3684612923829e-08
K02424	11196.1659529629	1.40951852878373	0.230251862066567	6.12163791481621	9.26183029526623e-10	7.66416456933281e-08
K10542	20069.2708716104	1.25600641839456	0.205160478341549	6.12206809297632	9.23685313226023e-10	7.66416456933281e-08
K10541	19956.2643530689	1.25520466298068	0.2051728092529	6.11779244799194	9.48805303591468e-10	7.74381095725749e-08
K16789	22630.0317630541	1.13209709945377	0.185253259207324	6.11107790652576	9.89604386797343e-10	7.96765261694401e-08
