	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K12940	1109.34921483635	-2.54780515571053	0.388882601234384	-6.55160489984209	5.69219807735037e-11	3.61226889988654e-07
K00208	17359.3607858297	-1.20095035551794	0.214061569353627	-5.61030342412367	2.01972176601343e-08	1.27835126490408e-05
K01665	8703.96431318325	-1.23163639301437	0.220253376440849	-5.59190697966499	2.24589139837278e-08	1.27835126490408e-05
K01805	8917.15210836538	-1.25987360822513	0.22459405524927	-5.60955901894569	2.02842814645858e-08	1.27835126490408e-05
K03313	9440.23234060953	-1.20655947740667	0.207040966277024	-5.8276364291706	5.62178871432059e-09	1.27835126490408e-05
K04761	8524.76374961732	-1.34696236695927	0.239426617328971	-5.62578372440752	1.84667601794114e-08	1.27835126490408e-05
K08156	7481.87294125228	-1.61617542258917	0.283910054713116	-5.69256141429113	1.25147561191167e-08	1.27835126490408e-05
K08191	10542.0240960232	-1.42394672718501	0.254939113408923	-5.5854384529101	2.3311133554895e-08	1.27835126490408e-05
K09181	8584.02450999332	-1.32102918190248	0.235997721088174	-5.59763533228744	2.17295216567592e-08	1.27835126490408e-05
K09973	8246.38335700621	-1.35541473353985	0.240943410316979	-5.6254484476529	1.85026659311822e-08	1.27835126490408e-05
K16089	24554.8219881262	-1.46249288960657	0.258261744056839	-5.66283208125747	1.48894848913264e-08	1.27835126490408e-05
K17363	1297.48102240553	-2.30772229376202	0.413635111122432	-5.57912573596528	2.41730462950661e-08	1.27835126490408e-05
K00086	524.631569428366	-2.98019665230879	0.544330677263946	-5.47497463727126	4.37574278506822e-08	1.3223077959068e-05
K00658	8683.13605215152	-1.27514131748552	0.231631543672763	-5.505041745467	3.69080801735842e-08	1.3223077959068e-05
K01903	8928.79053544434	-1.26557964824656	0.230108871142211	-5.4999168087892	3.79970480193704e-08	1.3223077959068e-05
K03606	11965.8485560791	-1.45214292940001	0.264534483793351	-5.48942772441869	4.03238074434412e-08	1.3223077959068e-05
K03801	8841.96776871841	-1.23525261629061	0.224136540336031	-5.51116125214875	3.56473949400289e-08	1.3223077959068e-05
