OTU ID	11212.Asen1019	11212.RT2013	11212.ERUB.12M	11212.PVLou	11212.JB18	11212.AC668	11212.Ptr5	11212.RC2138	11212.APF38	11212.PVPam	11212.APF115	11212.JB35	11212.BWC2063	11212.Apalw13	11212.LagEllis1	11212.Apalw14	11212.RC2036	11212.JB32	11212.ERUB.79M	11212.JB8	11212.AsenLink5	11212.AC679	11212.ERUB.98M	11212.RT2021	11212.Gor7	11212.Lc155	11212.AsenLink2	11212.PVQui	11212.Ptr11	11212.JB1	11212.Gor12	11212.RC2068	11212.APF103	11212.Gor9	11212.APF104	11212.JB24	11212.Ahyb1000	11212.AtbelzLink1	11212.ERUB.4M	11212.Ptr16	11212.APF113	11212.PVAbb	11212.JB17	11212.Asen1111	11212.APX19	11212.PTr14	11212.AC691	11212.RC2137	11212.JB34	11212.RC2071	11212.BWC2023	11212.Lc268	11212.Ptr4	11212.Asen1118	11212.JB19	11212.BWC2341	11212.Ptr3	11212.ERUB.108M	11212.Ptr17	11212.AC680	11212.ERUB.33M	11212.RC2098	11212.JB25	11212.Gor8	11212.Apalw20	11212.Asen685	11212.Ptr10	11212.ERUB.76M	11212.AsenLink3	11212.ERUB.13M	11212.Lc336	11212.Gor6	11212.Gor1	11212.RC2096	11212.Lc331	11212.AsenLink4	11212.AC683	11212.JB4	11212.ERUB.21M	11212.AtbelzLink3	11212.Lc318	11212.PVRij	11212.JB26	11212.Apalw23	11212.Ptr13	11212.AtbelzLink4	11212.JB3	11212.AC684	11212.Lc259	11212.Gor5	11212.BWC2115	11212.JB28	11212.APX.37	11212.APF108	11212.Gor2	11212.APX21	11212.RT2048	11212.Lc316	11212.RT2050	11212.JB30	11212.APF110	11212.LagEllis4	11212.ERUB.14M	11212.JB13	11212.BWC2061	11212.Ptr9	11212.APAL37	11212.Apalw9	11212.APAL39	11212.RT2135	11212.LagAb2	11212.BWC2342	11212.AC622	11212.JB29	11212.RC2141	11212.APF109	11212.Gor3	11212.Gor4	11212.AC711	11212.BWC2339	11212.AsenLink1	11212.Lc172	11212.AC685	11212.AtbelzLink5	11212.AC673	11212.Gor11	11212.LabEllis3	11212.JB27	11212.PVPet	11212.Ahyb411	11212.AC674	11212.AtbelzLink2	11212.Ptr15	11212.Lc23	11212.BWC2026	11212.Apalw19	11212.Lc301	11212.ERUB.105M	11212.Ptr6	11212.RT2017	11212.Apalw8	11212.APAL38	11212.APAL36	11212.Asen1013	11212.APF116	11212.RT2019	11212.Apalw10	11212.ERUB.20M	11212.AC693	11212.JB12	11212.Ahyb257	11212.JB15	11212.JB31	11212.APX38
ASV21	162	0	0	0	0	0	0	0	0	0	0	0	0	436	13	372	0	0	0	0	5	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	134	143	0	0	31	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	21	0	0	0	31	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	56	0	0	0	0	0	0	0	0	95	0	0	0	0	7	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV22	161	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	188	0	0	88	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	85	0	0	83	0	0	0	0	0	0	212	19	0	0	15	0	0	0	0	0	14	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	10	0	0	7	9	0	0	0	0	0	7	11	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	18	0	0	0
ASV23	157	0	0	0	0	13	0	0	50	0	0	0	0	0	0	0	0	0	0	0	73	4	0	0	0	0	930	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	15	0	35	0	0	0	0	0	0	19	0	0	0	0	0	32	0	0	0	0	47	565	0	0	358	0	0	0	0	0	0	313	26	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	133	42	0	56	0	0	0	0	33	0	0	0	0	0	145	0	27	0	52	0	19	0	0	83	0	0	0	0	103	0	0	0	42	0	0	0	0	0	24	0	0	0	0	31	0	0	0	0	0	42	10	13	0	0	0	0	238	0	0	0	0	0
ASV24	138	0	0	0	0	38	0	0	77	0	4	0	0	53	7	33	0	0	0	0	62	55	0	0	0	0	15	0	0	0	0	0	61	0	35	0	0	0	0	0	15	0	0	191	47	0	79	0	0	0	0	0	0	113	0	0	0	0	0	61	0	0	0	0	52	31	0	0	313	0	0	0	0	0	0	98	32	0	0	0	0	0	0	34	0	0	0	7	0	0	0	0	93	31	0	72	0	0	0	0	54	0	0	0	0	0	76	14	8	0	0	0	46	0	0	17	0	0	51	0	97	0	56	0	55	0	0	0	0	0	58	0	0	0	0	72	0	0	0	0	13	5	9	33	19	0	18	0	53	0	0	0	0	32
ASV25	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	118	0	0	9	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ASV26	122	0	0	0	0	97	0	0	65	0	30	0	0	0	37	0	0	0	0	0	189	11	0	0	0	0	0	0	0	0	0	0	24	0	28	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	32	0	0	29	0	0	0	3	0	0	1	182	0	0	0	0	0	0	21	0	0	0	3	0	0	0	0	4	53	0	44	0	0	0	0	0	43	0	0	0	0	0	0	0	0	6	0	1	0	0	37	0	0	0	0	81	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	14	0	10	0	2	0	0	0	0	0	0	0
ASV27	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV28	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV29	118	0	0	0	0	304	0	0	0	0	0	0	0	1	0	0	0	0	0	0	27	229	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	442	0	0	0	0	0	0	28	0	0	0	0	0	240	0	0	0	0	21	88	0	0	46	0	0	0	0	0	0	204	739	0	0	0	0	0	0	9	0	0	0	695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	15	0	0	0	103	0	0	0	0	0	107	0	11	0	348	0	197	0	0	0	0	0	170	0	0	0	0	18	0	0	0	0	0	9	222	20	0	0	63	0	293	0	0	0	0	0
ASV30	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ASV31	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	510	0	0	211	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
ASV32	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	54	0	0	35	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
