	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K10843	30.8869554582353	-5.17595031578864	0.614964431077967	-8.41666615858702	3.87349473543863e-17	2.34733780967581e-13
K02274	16.8282131381127	-3.95568324402501	0.495446034882494	-7.98408497701103	1.41568476678516e-15	2.24356125034273e-12
K03889	16.2891383014073	-4.10963353602477	0.516874388065695	-7.95093282026278	1.85112314384714e-15	2.24356125034273e-12
K03890	16.2891383014073	-4.10963353602477	0.516874388065695	-7.95093282026278	1.85112314384714e-15	2.24356125034273e-12
K03891	16.2891383014073	-4.10963353602477	0.516874388065695	-7.95093282026278	1.85112314384714e-15	2.24356125034273e-12
K02276	16.451833685786	-3.95210292708583	0.504466158416949	-7.83422804710591	4.71731913553301e-15	4.76449232688834e-12
K02228	15.8346389602336	-4.43466843500608	0.578290925626455	-7.66857690219169	1.7391507904814e-14	1.32523578302428e-11
K02275	16.5750388414446	-3.86083984631262	0.503586901333716	-7.66668044003418	1.76504796883577e-14	1.32523578302428e-11
K05710	18.1493676850798	-3.57707227812537	0.467426752655142	-7.65269051847458	1.96817195498656e-14	1.32523578302428e-11
K07653	15.8456723313455	-4.45862343407703	0.587536992623571	-7.58866844139911	3.23209615310396e-14	1.53922464314007e-11
K07669	15.8456723313455	-4.45862343407703	0.587536992623571	-7.58866844139911	3.23209615310396e-14	1.53922464314007e-11
K13572	15.7455863563212	-4.46590497238084	0.588711584918929	-7.58589619566571	3.30196705624107e-14	1.53922464314007e-11
K17315	15.5802488546581	-4.45627657097888	0.585739519577315	-7.60794930517005	2.78479021055556e-14	1.53922464314007e-11
K02259	48.8707605702742	-3.69640301546779	0.488262392646127	-7.5705257483281	3.7171674382462e-14	1.60900247684086e-11
K02021	8.09902299476034	-4.5192342979328	0.598134854231015	-7.55554414855643	4.17112304787356e-14	1.68513371134092e-11
K03416	15.5457176271327	-4.44948557264076	0.593516325024583	-7.49682087086056	6.53842347142334e-14	2.20126923537919e-11
K14337	15.5457176271327	-4.44948557264076	0.593516325024583	-7.49682087086056	6.53842347142334e-14	2.20126923537919e-11
K17490	15.5457176271327	-4.44948557264076	0.593516325024583	-7.49682087086056	6.53842347142334e-14	2.20126923537919e-11
K08221	16.1108955864093	-4.22498076772387	0.571915638327711	-7.38741955033399	1.4970565309532e-13	4.77482240925072e-11
K13573	16.5293635512229	-4.20360368634466	0.572204570508159	-7.34633014659698	2.03722817959175e-13	6.172801384163e-11
K16163	16.1269504212201	-4.2392624118919	0.583466323857809	-7.26565054151267	3.71247216331079e-13	9.781557091158e-11
