	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K07031	21.5015999118791	5.18926786421973	0.409624117162776	12.6683650859298	8.85405330991341e-37	4.64395096104959e-33
K14153	50.7566108705298	7.18452794331642	0.576178415572357	12.4692764413598	1.09818671602023e-35	2.87999466276307e-32
K19167	9.47186930751614	5.70798458489358	0.500106495097081	11.4135381980703	3.57870040852082e-30	6.25676121423056e-27
K06408	26.87557669607	3.81015131140489	0.339276061514854	11.2302391580258	2.89693358529397e-29	3.79860416371672e-26
K00613	4.9806137238034	5.0530441895964	0.45100623342687	11.2039342587396	3.90019413015717e-29	4.09130364253487e-26
K05567	19.6241093198157	3.93140827606589	0.356150365111792	11.0386192495741	2.48827329185303e-28	1.86442763082417e-25
K05571	19.5054679637588	3.92444951348186	0.355362881788394	11.0434986730514	2.35674173890608e-28	1.86442763082417e-25
K05570	19.6290050395458	3.92551914462593	0.356013392917897	11.0263243538459	2.85287976834042e-28	1.87041929811819e-25
K05566	19.6694349780989	3.87382591061862	0.354722129077466	10.9207337041344	9.17515974783867e-28	5.34707920860154e-25
K19267	19.2282887661683	4.217124104878	0.392862447179613	10.7343527872237	7.02091999362026e-27	3.68247253665382e-24
K01223	495.301553798742	3.58513208430888	0.334524260843388	10.7171063625407	8.4609028480615e-27	3.95140968732304e-24
K03716	18.4075646658244	4.18049168328064	0.390299804627122	10.7109755980394	9.04040347909943e-27	3.95140968732304e-24
K07705	19.2442268610444	4.28992894642803	0.401358525689339	10.6885207908814	1.15193480629901e-26	4.64761389156792e-24
K00247	12.8432637290556	5.92125015307273	0.562051962047174	10.5350582382199	5.95464084176916e-26	2.23086365821995e-23
K03489	17.6260919954366	5.08372865920102	0.488716276897244	10.4022086014334	2.42252084951226e-25	8.47074790379453e-23
K10793	16.2535197110439	6.50770758035672	0.640355757544569	10.1626439735787	2.91074011717796e-24	9.54176994662399e-22
K03481	35.4018569918568	4.16468387406688	0.413605552919488	10.0692165389703	7.55777066579102e-24	2.33179453776905e-21
K08714	16.356836206414	6.97653777549437	0.696516947268756	10.0163216456561	1.29223041351995e-23	3.76541584384008e-21
K03492	19.7825500224974	4.75338161663404	0.474941474488195	10.0083523380567	1.40065772378942e-23	3.80941672799169e-21
K07451	25.3853620824721	3.83719563854602	0.383537406269964	10.0047494085755	1.45258979141723e-23	3.80941672799169e-21
K07683	27.5017884145983	-9.80211344302506	0.983013006109846	-9.97149923968527	2.03138982216343e-23	5.07363791297486e-21
K09860	10.0544170765477	6.11694583237223	0.616517535680947	9.92177104194777	3.34762668011229e-23	7.9810463350859e-21
K09803	11.295329253321	4.38312821788616	0.442149606136774	9.91322429569298	3.64683281030867e-23	8.31636438698651e-21
K18704	16.6925742265351	4.77290269696605	0.48316533825843	9.87840459369453	5.16486293054808e-23	1.12873775294686e-20
K01222	34.7306228179218	3.41601874120061	0.34616226320752	9.86825862977661	5.71480723455896e-23	1.19896655781047e-20
K12152	18.3328490231105	6.59007799587435	0.670979172744263	9.82158353577703	9.09041979048998e-23	1.83381737696615e-20
K14977	14.5137006625479	4.08438363377269	0.418517619339762	9.75916770294177	1.68532616440828e-22	3.273902123082e-20
K02385	11.9604974506543	3.90285365810829	0.400159533736924	9.75324421652824	1.78665451266635e-22	3.33479400181255e-20
K06918	13.1748820082497	5.44991619467394	0.559160488745004	9.7466046052465	1.90741315642281e-22	3.33479400181255e-20
K19222	12.3042131690945	5.49659534059488	0.563911439450038	9.74726695730008	1.89501254489671e-22	3.33479400181255e-20
K19504	17.3610644413138	5.06682411619259	0.525772698644861	9.63690988378046	5.58437176903521e-22	9.44839675115796e-20
K05569	17.0637918490377	3.77858836910617	0.392333976693896	9.63105056805793	5.91218936913047e-22	9.69044788784042e-20
K01466	26.6524782152446	3.84371396287475	0.401798702966087	9.56626772187258	1.10834689667302e-21	1.72028416623195e-19
K09859	10.1087886541754	5.74316031055361	0.600395110016275	9.56563472077235	1.11515084179002e-21	1.72028416623195e-19
K10795	9.29197603097112	5.73725145473841	0.60288792075174	9.51628197756002	1.79485998244176e-21	2.61501127997417e-19
K10796	9.29197603097112	5.73725145473841	0.60288792075174	9.51628197756002	1.79485998244176e-21	2.61501127997417e-19
K07719	18.309558822485	3.70629758914135	0.39010398677873	9.50079392868031	2.08296088875786e-21	2.95273780041486e-19
K18815	15.3596942677441	5.32094806377094	0.56146943774696	9.47682581820055	2.62135652112646e-21	3.61816182981796e-19
K07307	17.2372317285898	5.30468206735851	0.56021042783482	9.46908840640611	2.82296466966832e-21	3.7965255621565e-19
K02024	19.4561328837232	6.28323169176312	0.665068299430796	9.44749839548912	3.47024970709259e-21	4.55036492842516e-19
K13015	11.3439580984866	4.48950676782134	0.475674882235126	9.43818338005533	3.79298097308376e-21	4.85224029361569e-19
K14187	18.6397592459858	6.05101271952297	0.643550452353544	9.40254598127258	5.32584691347223e-21	6.65096834789568e-19
