	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K02274	19.0845157773307	-4.27789945904404	0.502002111828869	-8.52167622056213	1.57260509420937e-17	4.44768332646204e-14
K03889	18.6619825300971	-4.38547213621624	0.51907501165823	-8.44862888353357	2.94743759208883e-17	4.44768332646204e-14
K03890	18.6619825300971	-4.38547213621624	0.51907501165823	-8.44862888353357	2.94743759208883e-17	4.44768332646204e-14
K03891	18.6619825300971	-4.38547213621624	0.51907501165823	-8.44862888353357	2.94743759208883e-17	4.44768332646204e-14
K02276	18.8573212772754	-4.22678052580533	0.510311275866067	-8.28274961910631	1.20363313817069e-16	1.45302592439965e-13
K03153	41.5250228784815	-3.21128088256896	0.393596450211974	-8.15881566218268	3.3832552304302e-16	3.25762946118714e-13
K13572	18.2680674553003	-4.80812128337998	0.591194844068159	-8.13288771311689	4.19182881419444e-16	3.25762946118714e-13
K17315	17.9525009317739	-4.80098610347403	0.590577709146762	-8.12930462683778	4.31760034617248e-16	3.25762946118714e-13
K02275	18.9973473802224	-4.13054229750497	0.510415354167665	-8.09251184114681	5.84467178231106e-16	3.81472144434308e-13
K07653	18.4779110270324	-4.75403646476716	0.588153440462318	-8.08298674752331	6.31994937763929e-16	3.81472144434308e-13
K07669	18.4809113012483	-4.74542215301433	0.588113036568483	-8.06889468171439	7.09374221172369e-16	3.89252981726947e-13
K02259	55.7814435864144	-3.98044895495019	0.494128484038574	-8.05549383111348	7.91585618035387e-16	3.981675658718e-13
K02021	9.29287511274813	-4.86516817414217	0.607067897839312	-8.01420762234072	1.10849318319048e-15	4.20871435196016e-13
K03416	17.9196539698446	-4.79505401223089	0.598378068075209	-8.01341871979875	1.11563004690793e-15	4.20871435196016e-13
K14337	17.9196539698446	-4.79505401223089	0.598378068075209	-8.01341871979875	1.11563004690793e-15	4.20871435196016e-13
K17490	17.9196539698446	-4.79505401223089	0.598378068075209	-8.01341871979875	1.11563004690793e-15	4.20871435196016e-13
K02228	18.0735725524589	-4.67981885520274	0.585102852335297	-7.99828412478997	1.26164978634432e-15	4.47959888845549e-13
K08221	18.4512371646563	-4.48967616386287	0.574425696374712	-7.81593893204622	5.45548209830998e-15	1.82940499696661e-12
K17316	8.93018626917844	-4.86136192352405	0.6248383578235	-7.78019124891378	7.24149915079206e-15	2.18548444370904e-12
K17317	8.93018626917844	-4.86136192352405	0.6248383578235	-7.78019124891378	7.24149915079206e-15	2.18548444370904e-12
K13950	21.4925611430565	-3.18391884192538	0.410054671689766	-7.76462033417394	8.18901529832607e-15	2.24676801548619e-12
K16163	18.486069118266	-4.55659080065748	0.586521091717846	-7.76884389155009	7.92057110918324e-15	2.24676801548619e-12
K18291	8.89867562644864	-4.85488977548681	0.627447757883174	-7.73752031860914	1.01374485520065e-14	2.54956831082963e-12
K20370	8.89867562644864	-4.85488977548681	0.627447757883174	-7.73752031860914	1.01374485520065e-14	2.54956831082963e-12
K05602	22.2171271052342	-3.12396017342703	0.405463627239572	-7.70466193156508	1.31190127589343e-14	3.1674544405171e-12
K05710	18.8719938033613	-4.12029528679556	0.538903334455852	-7.64570382730318	2.0780548601345e-14	4.52110176579384e-12
K05991	35.7586353802223	-4.68323184994255	0.612492041990681	-7.64619216067106	2.0701823010325e-14	4.52110176579384e-12
K17489	35.7843167803222	-4.6888927525773	0.61336654494429	-7.64451988982083	2.09726390726023e-14	4.52110176579384e-12
K14335	18.0583806001244	-4.51142465202025	0.591231942287239	-7.63054958527335	2.33755033662177e-14	4.86532890753413e-12
K10843	18.1019733684974	-4.44239975866839	0.582799349515007	-7.62252010467285	2.487703592705e-14	4.94143818598383e-12
K15371	21.5317361001713	-3.11364542011186	0.408617863933057	-7.61994443938937	2.53784930028991e-14	4.94143818598383e-12
K00368	21.3856955889253	-3.13613501354264	0.412547289050149	-7.60188006752703	2.91859159412459e-14	5.33836935216243e-12
K03433	18.4122127238103	-4.50656506173342	0.592732858152772	-7.60302891892639	2.89278813462446e-14	5.33836935216243e-12
K07399	37.3556178746751	-3.85089533248581	0.506958429459391	-7.59607713120052	3.05242633223152e-14	5.4189545121616e-12
K14161	19.4446991540072	-4.23122677203456	0.559240754469626	-7.56602006956266	3.84832622355848e-14	6.63671345297114e-12
K00862	9.17041002138378	-4.45223229103176	0.589762094933143	-7.54920048148649	4.37938301076733e-14	7.29721959304114e-12
K03432	18.4282346945483	-4.47548718216857	0.593059270594118	-7.54644165276279	4.47311340196359e-14	7.29721959304114e-12
K12583	18.2019566588279	-4.5022467620804	0.59758684992319	-7.53404590924162	4.91918190399505e-14	7.81373209803003e-12
K09992	27.1458434545331	-4.42842461604189	0.599379835873055	-7.38834433692862	1.48668334002556e-13	2.30092836933187e-11
K14162	19.7595464348968	-4.1180225884372	0.564842059735955	-7.29057356380692	3.08638225715009e-13	4.65735082603948e-11
K02303	69.3370974804705	-2.69997680783186	0.373553904091167	-7.22781043983659	4.90843186406348e-13	7.22616944670418e-11
K13573	20.0721983448406	-3.64124743665358	0.515709821533328	-7.06065171655504	1.65723492372089e-12	2.38168333323317e-10
K01167	36.6871989155299	-3.93440383353069	0.561443372589644	-7.00765923263703	2.4233814996819e-12	3.40175133304184e-10
K11045	89.4227610313118	-4.6479562908084	0.666038317638891	-6.97851184791504	2.98323062869496e-12	4.09245001700064e-10
K21401	19.571205442907	-3.62107407992932	0.526882385768729	-6.87264212609067	6.30235363105659e-12	8.45355700379057e-10
K12503	23.2557652963258	-2.7229195130157	0.400736567364698	-6.7947867371376	1.08472868867866e-11	1.423352688014e-09
K10240	24.0417140921318	-3.70215896388247	0.551137522482055	-6.71730523302015	1.85115945887228e-11	2.37736138164959e-09
K10241	24.0626887966461	-3.69109273967017	0.551388816770778	-6.69417410619089	2.16893064140894e-11	2.67176843909069e-09
K10242	24.0738273554003	-3.69181670164674	0.551413834416675	-6.69518331101034	2.154014443396e-11	2.67176843909069e-09
K13671	25.0496923283212	-2.54273857264622	0.397064910553117	-6.40383601034942	1.51520857525813e-10	1.82915979205162e-08
K17883	12.6917531689865	-2.58119874040938	0.407859160647295	-6.32865211685543	2.47311974794177e-10	2.9270099605052e-08
K07051	21.7745422560212	4.28880439990642	0.678067781731669	6.32503787298896	2.53170480664985e-10	2.93872504094971e-08
K16783	56.5789857545261	-3.3904812932655	0.540418013681531	-6.27381250704112	3.52312732287109e-10	4.01237670204715e-08
K06886	23.8743598750522	-3.32387146829717	0.538806143171559	-6.16895614577064	6.87422885769995e-10	7.68386025649572e-08
K06045	21.8138663035329	4.14869456808819	0.675725552644265	6.13961474722011	8.27218521219554e-10	9.07834726196586e-08
K07004	44.2841936235296	-2.58453795904674	0.430694306957595	-6.00086399400958	1.96270340499888e-09	2.11551388438808e-07
K07276	22.1446346250323	4.0082590983504	0.67632768982236	5.92650450169087	3.09450906180001e-09	3.27692222754822e-07
K09928	21.4722424591645	4.77278040497146	0.816806919744095	5.84321739887656	5.12021256724869e-09	5.3285522510195e-07
K18554	21.4368688695785	4.7351565415136	0.818837254415616	5.78278103002649	7.34756779172739e-09	7.51693545607907e-07
K07693	26.5853748993716	-2.38292565604533	0.416433934293478	-5.72221776327667	1.05142419628979e-08	1.05773274146752e-06
K08282	21.4218290496032	4.77343446445102	0.842897639962536	5.66312472373654	1.48641036904094e-08	1.47081524385756e-06
K16092	599.678287132309	-1.59809127782384	0.283447793121744	-5.63804452390796	1.71992044859306e-08	1.67442577866254e-06
K02454	567.105694085191	-1.6825169333836	0.300470279513103	-5.59961183552007	2.14832301932148e-08	2.05829805470229e-06
K07239	21.4198288667927	4.77323345462606	0.855092040218543	5.58212827405823	2.37593033461648e-08	2.20632546149924e-06
