	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K07227	304.841510951701	-3.61066477752603	0.653287484425008	-5.52691558250799	3.25909679304035e-08	0.000118294347120472
K12940	938.760031817547	-2.28631164840371	0.416741026784749	-5.48616887097275	4.10744260834974e-08	0.000118294347120472
K00086	467.047916444911	-2.78199605267662	0.533635646294382	-5.21328751554563	1.85523011033673e-07	0.000189184286079932
K03313	8530.87186576743	-1.10619321031685	0.209297026681372	-5.28527914541705	1.25513216347856e-07	0.000189184286079932
K06120	465.924095071731	-2.81609182817116	0.540110558073651	-5.21391738427589	1.84893838310738e-07	0.000189184286079932
K06121	464.706221556583	-2.83723927376983	0.551094377711074	-5.14837274434566	2.62755952888794e-07	0.000189184286079932
K06122	464.706221556583	-2.83723927376983	0.551094377711074	-5.14837274434566	2.62755952888794e-07	0.000189184286079932
K08156	6828.72503663288	-1.49718085559986	0.28852809196965	-5.18902975921438	2.11392614947901e-07	0.000189184286079932
K00208	15682.8354464962	-1.06996641354202	0.219079948835128	-4.88390845091552	1.04003377806497e-06	0.00020581417947973
K00532	402.319674735641	-3.32042221849523	0.682105625493294	-4.86790035794519	1.12790170773595e-06	0.00020581417947973
K00658	7833.1436692397	-1.14800298849882	0.236722410569082	-4.84957459557382	1.23726534390512e-06	0.00020581417947973
K01665	8013.73635245222	-1.06952228350216	0.216830888188462	-4.93251811325223	8.11762491975588e-07	0.00020581417947973
K01697	273.40572615554	-2.38666539026087	0.493459890571726	-4.83659449503721	1.32082495976096e-06	0.00020581417947973
K01805	8028.29412622726	-1.18476487075365	0.234192933907691	-5.05892663363033	4.21623033977437e-07	0.00020581417947973
K01844	385.191659694943	-2.65047467042732	0.543600739359393	-4.87577458697126	1.08382316790984e-06	0.00020581417947973
K01903	8108.38728324551	-1.14473942582588	0.233850729038337	-4.89517150762533	9.82200304721631e-07	0.00020581417947973
K02477	16707.0463623738	-1.15278536302417	0.229959859084482	-5.0129851688623	5.35920290896455e-07	0.00020581417947973
K02763	12.9440036968405	-5.98844221963872	1.19824426366992	-4.99768069099502	5.80239603222387e-07	0.00020581417947973
K03322	8792.50572478563	-0.998286096608732	0.206214219365475	-4.84101484214075	1.2917772289701e-06	0.00020581417947973
K03606	10970.553096603	-1.30630355422197	0.265034927081589	-4.92879775736063	8.27371655468371e-07	0.00020581417947973
K03801	7981.39657831022	-1.11101743762523	0.2297195866802	-4.83640708953525	1.32207025013021e-06	0.00020581417947973
K04761	7721.94596301267	-1.20878927107838	0.247903517045497	-4.87604728438175	1.08232675168717e-06	0.00020581417947973
K06143	7360.55791486512	-1.22424858707409	0.252380366617401	-4.85080754688818	1.22959811962975e-06	0.00020581417947973
K07148	14537.1431535636	-1.25507117237152	0.254262358130445	-4.93612653323866	7.96894161540018e-07	0.00020581417947973
K07154	15579.9736892028	-1.17744312331887	0.23860660753839	-4.93466268795355	8.02893972968143e-07	0.00020581417947973
K08169	6850.87496998125	-1.49101178568847	0.293466571578071	-5.08068696775507	3.7607238798393e-07	0.00020581417947973
K09181	7841.6155359029	-1.15336559395236	0.238422786631697	-4.83748055396239	1.31495244995324e-06	0.00020581417947973
K09973	7459.37904989293	-1.21969438814408	0.249201729829473	-4.89440578513926	9.86031996239375e-07	0.00020581417947973
K11645	8926.50892559847	-1.14657642680338	0.23214867027125	-4.93897477622286	7.85343690932262e-07	0.00020581417947973
K13816	334.557318522016	-2.65174896396707	0.544716149911886	-4.86812987717735	1.1265928363741e-06	0.00020581417947973
K15977	8865.97117807137	-1.07270821270962	0.218648338404826	-4.90608902192297	9.29103681781831e-07	0.00020581417947973
K16089	21360.3129816287	-1.27933124892257	0.257803368968734	-4.9624302973237	6.96165532104579e-07	0.00020581417947973
K17865	387.799485997128	-2.73385815211281	0.559906230894722	-4.8827071414157	1.04639223212022e-06	0.00020581417947973
K18011	385.450816356084	-2.65152362774941	0.543405897189571	-4.87945317020439	1.06380378062226e-06	0.00020581417947973
K18837	418.672146183959	-2.71483841440524	0.545581551577285	-4.97604511471585	6.48965280845988e-07	0.00020581417947973
K18838	336.890398487742	-2.69852785364782	0.540174011845986	-4.99566397951263	5.86336770360126e-07	0.00020581417947973
K19164	336.198800319068	-2.67040831503772	0.53961161597326	-4.94875987838271	7.46878192659562e-07	0.00020581417947973
K01884	218.417662972425	-3.31490139794699	0.686832845233975	-4.82635829219516	1.39052252693311e-06	0.000210773940924598
K00156	7521.05563580666	-1.25313172434858	0.260296298669354	-4.81425103143857	1.47752980987025e-06	0.000218219787303914
K03653	441.204380410152	-3.14101703689393	0.653993379469017	-4.80282696354533	1.56441070874247e-06	0.000219780626398943
K08068	10.0438002556782	-5.32838568776325	1.10859762773541	-4.80641988982769	1.53657012121908e-06	0.000219780626398943
K18922	355.806825876335	-2.54886120275002	0.531584752039581	-4.79483505305704	1.62808737235303e-06	0.000223280553922701
K08191	8755.79122935604	-1.22690955212165	0.256639004058793	-4.78068233089222	1.74701230755052e-06	0.000234018392825372
K00281	7630.46149888686	-1.14202125284736	0.239602780165591	-4.76631052468631	1.87630011765439e-06	0.000239557033616518
K02856	7246.41777039483	-1.31936623154442	0.276667822231526	-4.76877369006189	1.85350735435202e-06	0.000239557033616518
