	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K00231	103.843173767645	-4.38742181637091	0.437614037702875	-10.0257794274639	1.17429380621794e-23	6.36349813589504e-20
K01236	49.9196297430942	-5.0475460565637	0.526823573136479	-9.58109377397978	9.60225804570067e-22	2.6017318174826e-18
K03432	49.4595991290642	-5.08766186204505	0.546270198522181	-9.31345307836424	1.23742498960326e-20	6.70560601866007e-18
K03433	49.4595991290642	-5.08766186204505	0.546270198522181	-9.31345307836424	1.23742498960326e-20	6.70560601866007e-18
K03889	49.4806830691865	-5.08829598865646	0.546290611637275	-9.3142658509295	1.22798816215991e-20	6.70560601866007e-18
K03890	49.4806830691865	-5.08829598865646	0.546290611637275	-9.3142658509295	1.22798816215991e-20	6.70560601866007e-18
K03891	49.4806830691865	-5.08829598865646	0.546290611637275	-9.3142658509295	1.22798816215991e-20	6.70560601866007e-18
K05710	49.4944712799853	-5.0887107169613	0.546308188043591	-9.31472532964354	1.22268483415764e-20	6.70560601866007e-18
K10843	49.869814961806	-5.09988279199941	0.546575393149009	-9.33061176175025	1.05261574220756e-20	6.70560601866007e-18
K12583	49.4806830691865	-5.08829598865646	0.546290611637275	-9.3142658509295	1.22798816215991e-20	6.70560601866007e-18
K16163	49.605671048265	-5.05129505497654	0.546156274896642	-9.24880897126463	2.27008007239169e-20	1.11832399202641e-17
K05602	52.8323147293722	-3.99021482443345	0.438722003669766	-9.09508707349212	9.45107093111159e-20	3.65823952683526e-17
K12503	52.8323147293722	-3.99021482443345	0.438722003669766	-9.09508707349212	9.45107093111159e-20	3.65823952683526e-17
K17883	52.8323147293722	-3.99021482443345	0.438722003669766	-9.09508707349212	9.45107093111159e-20	3.65823952683526e-17
K16783	50.1704019228677	-4.67881281366521	0.518629929605145	-9.02148631728097	1.85554423251057e-19	6.70346279731653e-17
K07693	53.0540188284418	-3.90431349161992	0.436354601131771	-8.94757035102489	3.63392362556689e-19	1.21592062670273e-16
K15371	53.2588636967983	-3.9038502146323	0.436564135128677	-8.94221467249396	3.81447696142209e-19	1.21592062670273e-16
K14162	50.1226067894936	-4.77624586231712	0.539696067613017	-8.84988079205698	8.76128278488945e-19	2.63763285618422e-16
K04561	53.6675251262132	-3.8608251424259	0.43739815178782	-8.82679802519782	1.07715066553817e-18	3.07214708239545e-16
K00318	53.2435999927457	-5.50310889503553	0.623860756816836	-8.82105315153079	1.13388176442139e-18	3.07225264069975e-16
K06994	54.8316318183022	-3.83042705539519	0.436062442914505	-8.78412511243532	1.57586218313622e-18	4.06647484305485e-16
K06045	59.3395675655332	3.39463975029058	0.398715979849149	8.51392951838779	1.68136236254345e-17	4.14150120119225e-15
K14335	49.269176674483	-5.24457609829679	0.618006765114749	-8.48627619363196	2.13363992720184e-17	4.6248779062027e-15
K17316	49.1594197931796	-5.3170133682135	0.626341507274164	-8.48900049966849	2.08421827779793e-17	4.6248779062027e-15
K17317	49.1594197931796	-5.3170133682135	0.626341507274164	-8.48900049966849	2.08421827779793e-17	4.6248779062027e-15
K00801	59.2704118651407	3.43044227412575	0.404654495214612	8.47745994346704	2.30163566881667e-17	4.79713988050675e-15
K00280	48.9285329756555	-5.37645487710415	0.639719476648716	-8.40439454066596	4.30074566339112e-17	6.29884885132879e-15
K01167	49.0746048948563	-5.33231503635103	0.632150178536626	-8.4352029270875	3.3062862443312e-17	6.29884885132879e-15
K02021	48.9496169157779	-5.37709204980712	0.639738269268417	-8.40514364719212	4.27338213586856e-17	6.29884885132879e-15
K02228	48.9496169157779	-5.37709204980712	0.639738269268417	-8.40514364719212	4.27338213586856e-17	6.29884885132879e-15
K02802	48.9285329756555	-5.37645487710415	0.639719476648716	-8.40439454066596	4.30074566339112e-17	6.29884885132879e-15
K03416	48.9496169157779	-5.37709204980712	0.639738269268417	-8.40514364719212	4.27338213586856e-17	6.29884885132879e-15
K05991	48.9285329756555	-5.37645487710415	0.639719476648716	-8.40439454066596	4.30074566339112e-17	6.29884885132879e-15
K07653	48.9496169157779	-5.37709204980712	0.639738269268417	-8.40514364719212	4.27338213586856e-17	6.29884885132879e-15
K12954	48.9285329756555	-5.37645487710415	0.639719476648716	-8.40439454066596	4.30074566339112e-17	6.29884885132879e-15
K16146	48.9285329756555	-5.37645487710415	0.639719476648716	-8.40439454066596	4.30074566339112e-17	6.29884885132879e-15
K17490	48.9285329756555	-5.37645487710415	0.639719476648716	-8.40439454066596	4.30074566339112e-17	6.29884885132879e-15
K09709	49.0242945457436	-5.27421431317134	0.640455286444533	-8.23510153605097	1.79405410223316e-16	2.55841557368461e-14
K02803	98.0031378705118	-5.34197471219424	0.652542996957431	-8.18639497642593	2.69167343273439e-16	3.74004572615069e-14
